id,date,item,amount,customer_id
105,2025-04-01,Basic Wash,12.00,C001
106,2025-04-02,Premium Wash,22.00,C051
107,2025-04-03,Wax Add-on,18.00,C012
108,2025-04-04,Basic Wash,12.00,C052
109,2025-04-05,Interior Clean,45.00,C006
110,2025-04-06,Full Detail,85.00,C053
111,2025-04-07,Tire Shine,8.00,C036
112,2025-04-08,Basic Wash,12.00,C054
113,2025-04-09,Premium Wash,22.00,C002
114,2025-04-10,Engine Clean,35.00,C026
115,2025-04-11,Basic Wash,12.00,C055
116,2025-04-12,Interior Clean,45.00,C014
117,2025-04-13,Full Detail,85.00,C027
118,2025-04-14,Premium Wash,22.00,C005
119,2025-04-15,Basic Wash,12.00,C056
120,2025-04-16,Wax Add-on,18.00,C039
121,2025-04-17,Interior Clean,45.00,C057
122,2025-04-18,Full Detail,85.00,C003
123,2025-04-19,Basic Wash,12.00,C058
124,2025-04-20,Premium Wash,22.00,C007
125,2025-04-21,Tire Shine,8.00,C041
126,2025-04-22,Basic Wash,12.00,C059
127,2025-04-23,Engine Clean,35.00,C017
128,2025-04-24,Interior Clean,45.00,C001
129,2025-04-25,Full Detail,85.00,C060
130,2025-04-26,Basic Wash,12.00,C009
131,2025-04-27,Premium Wash,22.00,C042
132,2025-04-28,Wax Add-on,18.00,C023
133,2025-04-29,Basic Wash,12.00,C043
134,2025-04-30,Interior Clean,45.00,C031
135,2025-05-01,Full Detail,85.00,C011
136,2025-05-02,Premium Wash,22.00,C008
137,2025-05-03,Basic Wash,12.00,C044
138,2025-05-04,Tire Shine,8.00,C046
139,2025-05-05,Engine Clean,35.00,C013
140,2025-05-06,Interior Clean,45.00,C002
141,2025-05-07,Full Detail,85.00,C047
142,2025-05-08,Basic Wash,12.00,C048
143,2025-05-09,Premium Wash,22.00,C001
144,2025-05-10,Wax Add-on,18.00,C049
145,2025-05-11,Basic Wash,12.00,C050
146,2025-05-12,Interior Clean,45.00,C006
147,2025-05-13,Full Detail,85.00,C052
148,2025-05-14,Premium Wash,22.00,C033
149,2025-05-15,Basic Wash,12.00,C004
150,2025-05-16,Tire Shine,8.00,C054
151,2025-05-17,Engine Clean,35.00,C020
152,2025-05-18,Interior Clean,45.00,C056
153,2025-05-19,Full Detail,85.00,C005
154,2025-05-20,Basic Wash,12.00,C057
155,2025-05-21,Premium Wash,22.00,C007
156,2025-05-22,Wax Add-on,18.00,C010
157,2025-05-23,Basic Wash,12.00,C058
158,2025-05-24,Interior Clean,45.00,C003
159,2025-05-25,Full Detail,85.00,C059
160,2025-05-26,Premium Wash,22.00,C014
161,2025-05-27,Basic Wash,12.00,C016
162,2025-05-28,Tire Shine,8.00,C060
163,2025-05-29,Engine Clean,35.00,C019
164,2025-05-30,Interior Clean,45.00,C022
165,2025-05-31,Full Detail,85.00,C002
166,2025-06-01,Basic Wash,12.00,C001
167,2025-06-02,Premium Wash,22.00,C025
168,2025-06-03,Wax Add-on,18.00,C027
169,2025-06-04,Basic Wash,12.00,C030
170,2025-06-05,Interior Clean,45.00,C032
171,2025-06-06,Full Detail,85.00,C034
172,2025-06-06,Premium Wash,22.00,C009
173,2025-06-07,Tire Shine,8.00,C035
174,2025-06-07,Basic Wash,12.00,C037
175,2025-06-08,Engine Clean,35.00,C038
176,2025-06-08,Interior Clean,45.00,C008
177,2025-06-09,Full Detail,85.00,C040
178,2025-06-09,Basic Wash,12.00,C011
179,2025-06-10,Premium Wash,22.00,C042
180,2025-06-10,Wax Add-on,18.00,C044
181,2025-06-11,Basic Wash,12.00,C006
182,2025-06-11,Full Detail,85.00,C046
183,2025-06-12,Interior Clean,45.00,C047
184,2025-06-13,Premium Wash,22.00,C048
185,2025-06-13,Basic Wash,12.00,C013
186,2025-06-14,Tire Shine,8.00,C050
187,2025-06-14,Engine Clean,35.00,C051
188,2025-06-15,Full Detail,85.00,C003
189,2025-06-16,Basic Wash,12.00,C052
190,2025-06-17,Premium Wash,22.00,C004
191,2025-06-17,Interior Clean,45.00,C053
192,2025-06-18,Basic Wash,12.00,C054
193,2025-06-19,Full Detail,85.00,C007
194,2025-06-20,Wax Add-on,18.00,C055
195,2025-06-21,Basic Wash,12.00,C056
196,2025-06-22,Premium Wash,22.00,C002
197,2025-06-23,Interior Clean,45.00,C057
198,2025-06-24,Engine Clean,35.00,C058
199,2025-06-25,Full Detail,85.00,C001
200,2025-06-26,Basic Wash,12.00,C059
